unique_number,id_no,name_en,date_inscribed,category,name_en
1985,1442,Silk Roads: the Routes Network of Chang'an-Tianshan Corridor,2014,Cultural,Asia and the Pacific
2035,1474,Tusi Sites,2015,Cultural,Asia and the Pacific
2073,1423,Cultural Landscape of Maymand,2015,Cultural,Asia and the Pacific
1999,1455,Susa,2015,Cultural,Asia and the Pacific
2045,1484,"Sites of JapanÕs Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining",2015,Cultural,Asia and the Pacific
2018,1440,Great Burkhan Khaldun Mountain and its surrounding sacred landscape,2015,Cultural,Asia and the Pacific
2038,1477,Baekje Historic Areas,2015,Cultural,Asia and the Pacific
2044,1483,Singapore Botanic Gardens,2015,Cultural,Asia and the Pacific
2100,1508,Zuojiang Huashan Rock Art Cultural Landscape,2016,Cultural,Asia and the Pacific
2101,1509,Hubei Shennongjia,2016,Natural,Asia and the Pacific
2089,1502,"Archaeological Site of Nalanda <i>Mahavihara</i> (Nalanda University) at Nalanda, Bihar",2016,Cultural,Asia and the Pacific
2105,1513,Khangchendzonga National Park,2016,Mixed,Asia and the Pacific
2095,1505,Lut Desert,2016,Natural,Asia and the Pacific
2096,1506,The Persian Qanat,2016,Cultural,Asia and the Pacific
2093,1503,Nan Madol: Ceremonial Centre of Eastern Micronesia,2016,Cultural,Asia and the Pacific
2079,1490,Western Tien-Shan,2016,Natural,Asia and the Pacific
7,4,LÕAnse aux Meadows National Historic Site,1978,Cultural,Europe and North America
27,24,Nahanni National Park,1978,Natural,Europe and North America
1953,3,Aachen Cathedral ,1978,Cultural,Europe and North America
1739,29,Historic Centre of Krak—w,1978,Cultural,Europe and North America
1854,32,Wieliczka and Bochnia Royal Salt Mines,1978,Cultural,Europe and North America
30,27,Mesa Verde National Park,1978,Cultural,Europe and North America
31,28,Yellowstone National Park,1978,Natural,Europe and North America
46,42,Boyana Church,1979,Cultural,Europe and North America
47,43,Madara Rider,1979,Cultural,Europe and North America
48,44,Thracian Tomb of Kazanlak,1979,Cultural,Europe and North America
49,45,Rock-Hewn Churches of Ivanovo,1979,Cultural,Europe and North America
75,71,Dinosaur Provincial Park,1979,Natural,Europe and North America
103,95,Old City of Dubrovnik,1979,Cultural,Europe and North America
105,97,Historical Complex of Split with the Palace of Diocletian,1979,Cultural,Europe and North America
106,98,Plitvice Lakes National Park,1979,Natural,Europe and North America
1569,80,Mont-Saint-Michel and its Bay,1979,Cultural,Europe and North America
1719,81,Chartres Cathedral,1979,Cultural,Europe and North America
1571,83,Palace and Park of Versailles,1979,Cultural,Europe and North America
1572,84,"V_zelay, Church and Hill",1979,Cultural,Europe and North America
91,85,Prehistoric Sites and Decorated Caves of the V_zère Valley,1979,Cultural,Europe and North America
101,94,Rock Drawings in Valcamonica,1979,Cultural,Europe and North America
2122,125,Natural and Culturo-Historical Region of Kotor,1979,Cultural,Europe and North America
62,58,Urnes Stave Church,1979,Cultural,Europe and North America
34,31,Auschwitz Birkenau <br /><small>German Nazi Concentration and Extermination Camp (1940-1945)</small>,1979,Cultural,Europe and North America
104,96,Stari Ras and Sopo_ani,1979,Cultural,Europe and North America
1714,99,Natural and Cultural Heritage of the Ohrid region,1979,Mixed,Europe and North America
81,75,Grand Canyon National Park,1979,Natural,Europe and North America
82,76,Everglades National Park,1979,Natural,Europe and North America
84,78,Independence Hall,1979,Cultural,Europe and North America
2005,33,Bia_owie_a Forest,1979,Natural,Europe and North America
78,72,Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek,1979,Natural,Europe and North America
63,59,Bryggen,1979,Cultural,Europe and North America
85,79,Paphos,1980,Cultural,Europe and North America
100,93,Church and Dominican Convent of Santa Maria delle Grazie with ÒThe Last SupperÓ by Leonardo da Vinci,1980,Cultural,Europe and North America
142,130,_al Saflieni Hypogeum,1980,Cultural,Europe and North America
143,131,City of Valletta,1980,Cultural,Europe and North America
109,100,Durmitor National Park,1980,Natural,Europe and North America
1667,55,R¿ros Mining Town and the Circumference,1980,Cultural,Europe and North America
2068,30,Historic Centre of Warsaw,1980,Cultural,Europe and North America
147,134,Redwood National and State Parks,1980,Natural,Europe and North America
2114,91,"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura",1980,Cultural,Europe and North America
2121,132,Megalithic Temples of Malta,1980,Cultural,Europe and North America
175,157,S<U>G</U>ang Gwaay,1981,Cultural,Europe and North America
176,158,Head-Smashed-In Buffalo Jump,1981,Cultural,Europe and North America
178,160,Palace and Park of Fontainebleau,1981,Cultural,Europe and North America
1951,162,Amiens Cathedral,1981,Cultural,Europe and North America
1568,163,"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange",1981,Cultural,Europe and North America
182,164,"Arles, Roman and Romanesque Monuments",1981,Cultural,Europe and North America
1565,165,Cistercian Abbey of Fontenay,1981,Cultural,Europe and North America
186,168,Speyer Cathedral,1981,Cultural,Europe and North America
1735,169,WŸrzburg Residence with the Court Gardens and Residence Square,1981,Cultural,Europe and North America
168,150,Mammoth Cave National Park,1981,Natural,Europe and North America
169,151,Olympic National Park,1981,Natural,Europe and North America
1637,203,"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt ",1982,Cultural,Europe and North America
2127,174,Historic Centre of Florence,1982,Cultural,Europe and North America
219,198,Cahokia Mounds State Historic Site,1982,Cultural,Europe and North America
239,216,Rila Monastery,1983,Cultural,Europe and North America
240,217,Ancient City of Nessebar,1983,Cultural,Europe and North America
1621,219,Srebarna Nature Reserve,1983,Natural,Europe and North America
1641,225,Pirin National Park,1983,Natural,Europe and North America
286,256,Wood Buffalo National Park,1983,Natural,Europe and North America
255,229,"Place Stanislas, Place de la Carrière and Place d'Alliance in Nancy",1983,Cultural,Europe and North America
2118,230,Abbey Church of Saint-Savin sur Gartempe,1983,Cultural,Europe and North America
288,258,"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",1983,Natural,Europe and North America
1864,271,Pilgrimage Church of Wies,1983,Cultural,Europe and North America
227,206,Central Zone of the Town of Angra do Heroismo in the Azores,1983,Cultural,Europe and North America
1630,263,Monastery of the Hieronymites and Tower of Bel_m in Lisbon,1983,Cultural,Europe and North America
294,264,Monastery of Batalha,1983,Cultural,Europe and North America
295,265,Convent of Christ in Tomar,1983,Cultural,Europe and North America
297,267,Old City of Berne,1983,Cultural,Europe and North America
298,268,Abbey of St Gall,1983,Cultural,Europe and North America
299,269,Benedictine Convent of St John at MŸstair,1983,Cultural,Europe and North America
289,259,Great Smoky Mountains National Park,1983,Natural,Europe and North America
296,266,La Fortaleza and San Juan National Historic Site in Puerto Rico,1983,Cultural,Europe and North America
322,288,Castles of Augustusburg and Falkenlust at BrŸhl,1984,Cultural,Europe and North America
320,286,Vatican City,1984,Cultural,Europe and North America
355,313,Historic Centre of Cordoba,1984,Cultural,Europe and North America
357,314,"Alhambra, Generalife and Albayz’n, Granada",1984,Cultural,Europe and North America
2070,316,Burgos Cathedral,1984,Cultural,Europe and North America
361,318,"Monastery and Site of the Escurial, Madrid",1984,Cultural,Europe and North America
364,320,Works of Antoni Gaud’ ,1984,Cultural,Europe and North America
346,307,Statue of Liberty,1984,Cultural,Europe and North America
347,308,Yosemite National Park,1984,Natural,Europe and North America
342,304,Canadian Rocky Mountain Parks,1984,Natural,Europe and North America
412,359,Thracian Tomb of Sveshtari,1985,Cultural,Europe and North America
336,300,Historic District of Old Qu_bec,1985,Cultural,Europe and North America
1566,344,Pont du Gard (Roman Aqueduct),1985,Cultural,Europe and North America
1627,187,St Mary's Cathedral and St Michael's Church at Hildesheim,1985,Cultural,Europe and North America
403,352,Rock Art of Alta,1985,Cultural,Europe and North America
1506,310,Cave of Altamira and Paleolithic Cave Art of Northern Spain,1985,Cultural,Europe and North America
2124,311,Old Town of Segovia and its Aqueduct,1985,Cultural,Europe and North America
353,312,Monuments of Oviedo and the Kingdom of the Asturias,1985,Cultural,Europe and North America
395,347,Santiago de Compostela (Old Town),1985,Cultural,Europe and North America
1562,348,Old Town of çvila with its Extra-Muros Churches,1985,Cultural,Europe and North America
409,356,Historic Areas of Istanbul,1985,Cultural,Europe and North America
410,357,G_reme National Park and the Rock Sites of Cappadocia,1985,Mixed,Europe and North America
411,358,Great Mosque and Hospital of Divri_i,1985,Cultural,Europe and North America
401,351,Painted Churches in the Troodos Region,1985,Cultural,Europe and North America
420,367,"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",1986,Cultural,Europe and North America
452,392,Temple of Apollo Epicurius at Bassae,1986,Cultural,Europe and North America
414,361,Historic Centre of ƒvora,1986,Cultural,Europe and North America
449,389,Studenica Monastery,1986,Cultural,Europe and North America
450,390,_kocjan Caves,1986,Natural,Europe and North America
434,378,Mudejar Architecture of Aragon,1986,Cultural,Europe and North America
435,379,Historic City of Toledo,1986,Cultural,Europe and North America
436,380,Garajonay National Park,1986,Natural,Europe and North America
443,384,Old Town of C‡ceres,1986,Cultural,Europe and North America
432,377,Hattusha: the Hittite Capital,1986,Cultural,Europe and North America
423,369,Giant's Causeway and Causeway Coast,1986,Natural,Europe and North America
1634,370,Durham Castle and Cathedral,1986,Cultural,Europe and North America
425,371,Ironbridge Gorge,1986,Cultural,Europe and North America
1930,372,Studley Royal Park including the Ruins of Fountains Abbey,1986,Cultural,Europe and North America
1633,373,"Stonehenge, Avebury and Associated Sites",1986,Cultural,Europe and North America
429,374,Castles and Town Walls of King Edward in Gwynedd,1986,Cultural,Europe and North America
447,387,St Kilda,1986,Mixed,Europe and North America
483,419,Gros Morne National Park,1987,Natural,Europe and North America
1706,272,Hanseatic City of LŸbeck,1987,Cultural,Europe and North America
453,393,Archaeological Site of Delphi,1987,Cultural,Europe and North America
467,404,"Acropolis, Athens",1987,Cultural,Europe and North America
462,400,"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andr‡ssy Avenue",1987,Cultural,Europe and North America
464,401,Old Village of Holl—k_ and its Surroundings,1987,Cultural,Europe and North America
454,394,Venice and its Lagoon,1987,Cultural,Europe and North America
1558,395,"Piazza del Duomo, Pisa",1987,Cultural,Europe and North America
1747,383,"Cathedral, Alc‡zar and Archivo de Indias in Seville",1987,Cultural,Europe and North America
520,448,Nemrut Da_,1987,Cultural,Europe and North America
492,425,Blenheim Palace,1987,Cultural,Europe and North America
1635,426,Palace of Westminster and Westminster Abbey including Saint MargaretÕs Church,1987,Cultural,Europe and North America
405,353,Chaco Culture,1987,Cultural,Europe and North America
472,409,Hawaii Volcanoes National Park,1987,Natural,Europe and North America
2126,442,Monticello and the University of Virginia in Charlottesville,1987,Cultural,Europe and North America
1539,430,Frontiers of the Roman Empire,1987,Cultural,Europe and North America
495,428,City of Bath,1987,Cultural,Europe and North America
577,495,Strasbourg _ Grande ”le,1988,Cultural,Europe and North America
526,454,Mount Athos,1988,Mixed,Europe and North America
527,455,Meteora,1988,Mixed,Europe and North America
528,456,Paleochristian and Byzantine Monuments of Thessalonika,1988,Cultural,Europe and North America
571,491,Sanctuary of Asklepios at Epidaurus,1988,Cultural,Europe and North America
574,493,Medieval City of Rhodes,1988,Cultural,Europe and North America
439,381,Old City of Salamanca,1988,Cultural,Europe and North America
563,484,Xanthos-Letoon,1988,Cultural,Europe and North America
564,485,Hierapolis-Pamukkale,1988,Mixed,Europe and North America
566,487,Henderson Island,1988,Natural,Europe and North America
567,488,Tower of London,1988,Cultural,Europe and North America
578,496,"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church",1988,Cultural,Europe and North America
595,511,Archaeological Site of Mystras,1989,Cultural,Europe and North America
603,517,Archaeological Site of Olympia,1989,Cultural,Europe and North America
589,505,Monastery of Alcobaça,1989,Cultural,Europe and North America
624,532,Palaces and Parks of Potsdam and Berlin,1990,Cultural,Europe and North America
620,530,Delos,1990,Cultural,Europe and North America
632,537,"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios",1990,Cultural,Europe and North America
647,550,Historic Centre of San Gimignano,1990,Cultural,Europe and North America
1958,540,Historic Centre of Saint Petersburg and Related Groups of Monuments,1990,Cultural,Europe and North America
639,544,Kizhi Pogost,1990,Cultural,Europe and North America
640,545,"Kremlin and Red Square, Moscow",1990,Cultural,Europe and North America
617,527,"Kiev: Saint-Sophia Cathedral and Related Monastic Buildings, Kiev-Pechersk Lavra",1990,Cultural,Europe and North America
1718,582,Old Rauma,1991,Cultural,Europe and North America
710,600,"Paris, Banks of the Seine",1991,Cultural,Europe and North America
711,601,"Cathedral of Notre-Dame, Former Abbey of Saint-R_mi and Palace of Tau, Reims",1991,Cultural,Europe and North America
1865,515,Abbey and AltenmŸnster of Lorsch,1991,Cultural,Europe and North America
695,588,Danube Delta,1991,Natural,Europe and North America
605,518,Poblet Monastery,1991,Cultural,Europe and North America
660,559,Royal Domain of Drottningholm,1991,Cultural,Europe and North America
690,583,Fortress of Suomenlinna,1991,Cultural,Europe and North America
1563,570,Butrint,1992,Cultural,Europe and North America
1928,616,Historic Centre of Prague,1992,Cultural,Europe and North America
732,617,Historic Centre of _esk_ Krumlov,1992,Cultural,Europe and North America
738,621,Historic Centre of Tel_,1992,Cultural,Europe and North America
1952,635,Bourges Cathedral,1992,Cultural,Europe and North America
1576,623,"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management  System",1992,Cultural,Europe and North America
703,595,Pythagoreion and Heraion of Samos,1992,Cultural,Europe and North America
666,564,Old City of Zamo__,1992,Cultural,Europe and North America
716,604,Historic Monuments of Novgorod and Surroundings,1992,Cultural,Europe and North America
750,632,Cultural and Historic Ensemble of the Solovetsky Islands,1992,Cultural,Europe and North America
752,633,White Monuments of Vladimir and Suzdal,1992,Cultural,Europe and North America
573,492,Taos Pueblo,1992,Cultural,Europe and North America
642,546,Maulbronn Monastery Complex,1993,Cultural,Europe and North America
742,624,Town of Bamberg,1993,Cultural,Europe and North America
780,659,Brœ na B—inne - Archaeological Ensemble of the Bend of the Boyne,1993,Cultural,Europe and North America
793,670,The Sassi and the Park of the Rupestrian Churches of Matera,1993,Cultural,Europe and North America
705,596,Villages with Fortified Churches in Transylvania,1993,Cultural,Europe and North America
706,597,Monastery of Horezu,1993,Cultural,Europe and North America
1728,598,Churches of Moldavia,1993,Cultural,Europe and North America
778,657,Architectural Ensemble of the Trinity Sergius Lavra in Sergiev Posad,1993,Cultural,Europe and North America
734,618,Historic Town of Bansk‡ _tiavnica and the Technical Monuments in its Vicinity,1993,Cultural,Europe and North America
1537,620,"Levo_a, Spi_sk_ Hrad and the Associated Cultural Monuments",1993,Cultural,Europe and North America
740,622,Vlkol’nec,1993,Cultural,Europe and North America
785,664,Archaeological Ensemble of M_rida,1993,Cultural,Europe and North America
786,665,Royal Monastery of Santa Mar’a de Guadalupe,1993,Cultural,Europe and North America
2055,669,Routes of Santiago de Compostela: <i>Camino Franc_s</i> and Routes of Northern Spain ,1993,Cultural,Europe and North America
653,555,Birka and HovgŒrden,1993,Cultural,Europe and North America
655,556,Engelsberg Ironworks,1993,Cultural,Europe and North America
816,690,Pilgrimage Church of St John of Nepomuk at Zelen‡ Hora,1994,Cultural,Europe and North America
825,697,"Jelling Mounds, Runic Stones and Church",1994,Cultural,Europe and North America
838,708,Historical Monuments of Mtskheta,1994,Cultural,Europe and North America
840,710,Bagrati Cathedral and Gelati Monastery,1994,Cultural,Europe and North America
629,535,"Collegiate Church, Castle and Old Town of Quedlinburg",1994,Cultural,Europe and North America
813,687,V_lklingen Ironworks,1994,Cultural,Europe and North America
843,712,City of Vicenza and the Palladian Villas of the Veneto,1994,Cultural,Europe and North America
1929,541,Vilnius Historic Centre,1994,Cultural,Europe and North America
827,699,City of Luxembourg: its Old Quarters and Fortifications,1994,Cultural,Europe and North America
754,634,"Church of the Ascension, Kolomenskoye",1994,Cultural,Europe and North America
657,557,Rock Carvings in Tanum,1994,Cultural,Europe and North America
659,558,SkogskyrkogŒrden,1994,Cultural,Europe and North America
729,614,City of Safranbolu,1994,Cultural,Europe and North America
691,584,Pet_j_vesi Old Church,1994,Cultural,Europe and North America
810,685,Do–ana National Park,1994,Natural,Europe and North America
875,741,Old Town Lunenburg,1995,Cultural,Europe and North America
865,732,Kutn‡ Hora: Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,1995,Cultural,Europe and North America
822,695,Roskilde Cathedral,1995,Cultural,Europe and North America
254,228,"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge",1995,Cultural,Europe and North America
1733,720,Messel Pit Fossil Site,1995,Natural,Europe and North America
848,717,Historic Centre of Siena,1995,Cultural,Europe and North America
1867,726,Historic Centre of Naples,1995,Cultural,Europe and North America
862,730,Crespi d'Adda,1995,Cultural,Europe and North America
867,733,"Ferrara, City of the Renaissance, and its Po Delta",1995,Cultural,Europe and North America
854,723,Cultural Landscape of Sintra,1995,Cultural,Europe and North America
850,719,Virgin Komi Forests,1995,Natural,Europe and North America
864,731,Hanseatic Town of Visby,1995,Cultural,Europe and North America
860,728,Old and New Towns of Edinburgh,1995,Cultural,Europe and North America
874,740,Gough and Inaccessible Islands,1995,Natural,Europe and North America
852,721,Carlsbad Caverns National Park,1995,Natural,Europe and North America
407,354,Waterton Glacier International Peace Park,1995,Natural,Europe and North America
1624,725,Caves of Aggtelek Karst and Slovak Karst,1995,Natural,Europe and North America
872,739,Schokland and Surroundings,1995,Cultural,Europe and North America
920,777,Monasteries of Haghpat and Sanahin,1996,Cultural,Europe and North America
927,784,Historic Centre of the City of Salzburg,1996,Cultural,Europe and North America
929,786,Palace and Gardens of Sch_nbrunn,1996,Cultural,Europe and North America
899,763,Lednice-Valtice Cultural Landscape,1996,Cultural,Europe and North America
910,770,Canal du Midi,1996,Cultural,Europe and North America
839,709,Upper Svaneti,1996,Cultural,Europe and North America
1628,292,Cologne Cathedral,1996,Cultural,Europe and North America
861,729,Bauhaus and its Sites in Weimar and Dessau,1996,Cultural,Europe and North America
926,783,Luther Memorials in Eisleben and Wittenberg,1996,Cultural,Europe and North America
923,780,Archaeological Site of Aigai (modern name Vergina),1996,Cultural,Europe and North America
893,758,Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,1996,Cultural,Europe and North America
459,398,Castel del Monte,1996,Cultural,Europe and North America
930,787,The <I>Trulli</I> of Alberobello,1996,Cultural,Europe and North America
931,788,Early Christian Monuments of Ravenna,1996,Cultural,Europe and North America
932,789,Historic Centre of the City of Pienza,1996,Cultural,Europe and North America
890,755,"Historic Centre of Oporto, Luiz I Bridge and Monastery of Serra do Pilar ",1996,Cultural,Europe and North America
889,754,Lake Baikal,1996,Natural,Europe and North America
902,765,Volcanoes of Kamchatka,1996,Natural,Europe and North America
924,781,Historic Walled Town of Cuenca,1996,Cultural,Europe and North America
925,782,La Lonja de la Seda de Valencia,1996,Cultural,Europe and North America
898,762,"Church Town of Gammelstad, LuleŒ ",1996,Cultural,Europe and North America
916,774,Laponian Area,1996,Mixed,Europe and North America
885,751,Verla Groundwood and Board Mill,1996,Cultural,Europe and North America
892,757,Sceilg Mhich’l,1996,Cultural,Europe and North America
894,759,Defence Line of Amsterdam,1996,Cultural,Europe and North America
952,806,Hallstatt-Dachstein / Salzkammergut Cultural Landscape,1997,Cultural,Europe and North America
956,809,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Pore_,1997,Cultural,Europe and North America
957,810,Historic City of Trogir,1997,Cultural,Europe and North America
1626,822,Historic Centre (Old Town) of Tallinn,1997,Cultural,Europe and North America
393,345,Historic Fortified City of Carcassonne,1997,Cultural,Europe and North America
646,549,"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",1997,Cultural,Europe and North America
1736,823,Residences of the Royal House of Savoy,1997,Cultural,Europe and North America
973,824,"Botanical Garden (Orto Botanico), Padua",1997,Cultural,Europe and North America
975,826,"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)",1997,Cultural,Europe and North America
976,827,"Cathedral, Torre Civica and Piazza Grande, Modena",1997,Cultural,Europe and North America
978,829,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",1997,Cultural,Europe and North America
979,830,Costiera Amalfitana,1997,Cultural,Europe and North America
980,831,Archaeological Area of Agrigento,1997,Cultural,Europe and North America
981,832,Villa Romana del Casale,1997,Cultural,Europe and North America
982,833,Su Nuraxi di Barumini,1997,Cultural,Europe and North America
1003,852,Historic Centre of Riga,1997,Cultural,Europe and North America
967,819,"Historic Area of Willemstad, Inner City and Harbour, Curaçao",1997,Cultural,Europe and North America
984,835,Medieval Town of Toru_,1997,Cultural,Europe and North America
998,847,Castle of the Teutonic Order in Malbork,1997,Cultural,Europe and North America
949,803,Las M_dulas,1997,Cultural,Europe and North America
1631,804,"Palau de la Mœsica Catalana and Hospital de Sant Pau, Barcelona",1997,Cultural,Europe and North America
951,805,San Mill‡n Yuso and Suso Monasteries,1997,Cultural,Europe and North America
939,795,Maritime Greenwich,1997,Cultural,Europe and North America
915,773,Pyr_n_es - Mont Perdu,1997,Mixed,Europe and North America
966,818,Mill Network at Kinderdijk-Elshout,1997,Cultural,Europe and North America
928,785,Semmering Railway,1998,Cultural,Europe and North America
1006,855,Flemish B_guinages,1998,Cultural,Europe and North America
1007,856,"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",1998,Cultural,Europe and North America
1008,857,"La Grand-Place, Brussels",1998,Cultural,Europe and North America
1927,848,Choirokoitia,1998,Cultural,Europe and North America
1011,860,Gardens and Castle at Krom__’_,1998,Cultural,Europe and North America
1012,861,Hola_ovice Historic Village,1998,Cultural,Europe and North America
1019,868,Routes of Santiago de Compostela in France,1998,Cultural,Europe and North America
1023,872,Historic Site of Lyons,1998,Cultural,Europe and North America
997,846,Classical Weimar,1998,Cultural,Europe and North America
974,825,Archaeological Area and the Patriarchal Basilica of Aquileia,1998,Cultural,Europe and North America
977,828,Historic Centre of Urbino,1998,Cultural,Europe and North America
993,842,"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",1998,Cultural,Europe and North America
1026,874,Rock Art of the Mediterranean Basin on the Iberian Peninsula,1998,Cultural,Europe and North America
1028,876,University and Historic Precinct of Alcal‡ de Henares,1998,Cultural,Europe and North America
1022,871,Naval Port of Karlskrona,1998,Cultural,Europe and North America
1000,849,Archaeological Site of Troy,1998,Cultural,Europe and North America
1632,865,L'viv _ the Ensemble of the Historic Centre,1998,Cultural,Europe and North America
1018,867,Ir.D.F. Woudagemaal (D.F. Wouda Steam Pumping Station),1998,Cultural,Europe and North America
1642,866,Prehistoric Rock Art Sites in the C™a Valley and Siega Verde,1998,Cultural,Europe and North America
907,768,Golden Mountains of Altai,1998,Natural,Europe and North America
1724,931,City of Graz _ Historic Centre and Schloss Eggenberg,1999,Cultural,Europe and North America
812,686,Miguasha National Park,1999,Natural,Europe and North America
1054,901,Litomy_l Castle,1999,Cultural,Europe and North America
686,579,Bronze Age Burial Site of Sammallahdenm_ki,1999,Cultural,Europe and North America
1088,932,Jurisdiction of Saint-Emilion,1999,Cultural,Europe and North America
1047,896,"Museumsinsel (Museum Island), Berlin",1999,Cultural,Europe and North America
1048,897,Wartburg Castle,1999,Cultural,Europe and North America
1097,941,Archaeological Sites of Mycenae and Tiryns,1999,Cultural,Europe and North America
1098,942,The Historic Centre (Chor‡) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of P‡tmos,1999,Cultural,Europe and North America
552,474,Hortob‡gy National Park - the <i>Puszta</i>,1999,Cultural,Europe and North America
1060,907,Villa Adriana (Tivoli),1999,Cultural,Europe and North America
1058,905,Kalwaria Zebrzydowska: the Mannerist Architectural and Park Landscape Complex and Pilgrimage Park,1999,Cultural,Europe and North America
1090,934,Laurisilva of Madeira,1999,Natural,Europe and North America
1055,902,Historic Centre of Sighi_oara,1999,Cultural,Europe and North America
1057,904,Wooden Churches of Maramure_,1999,Cultural,Europe and North America
1059,906,Dacian Fortresses of the Orastie Mountains,1999,Cultural,Europe and North America
1052,900,Western Caucasus,1999,Natural,Europe and North America
481,417,"Ibiza, Biodiversity and Culture",1999,Mixed,Europe and North America
1084,929,San Crist—bal de La Laguna,1999,Cultural,Europe and North America
2125,514,Heart of Neolithic Orkney,1999,Cultural,Europe and North America
1100,943,Belfries of Belgium and France,1999,Cultural,Europe and North America
1051,899,Droogmakerij de Beemster (Beemster Polder),1999,Cultural,Europe and North America
1124,960,Monastery of Geghard and the Upper Azat Valley,2000,Cultural,Europe and North America
1181,1011,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,2000,Cultural,Europe and North America
1134,970,Wachau Cultural Landscape,2000,Cultural,Europe and North America
